movie_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,startExperiment.started,key_start_experiment.started,key_start_experiment.keys,key_start_experiment.rt,experiment_start ,fixation_1.started,movie1_start ,movie.started,movie1_end ,wait_text.started,wait_key.started,wait_key.keys,wait_key.rt,fixation_1.stopped,movie2_start ,movie2_end ,movie3_start ,movie3_end ,movie4_start ,movie4_end ,movie5_start ,movie5_end ,movie6_start ,movie6_end ,movie7_start ,movie7_end ,movie8_start ,movie8_end ,movie9_start ,movie9_end ,movie10_start ,movie10_end ,movie11_start ,movie11_end ,movie12_start ,movie12_end ,movie13_start ,movie13_end ,movie14_start ,movie14_end ,movie15_start ,movie15_end ,movie16_start ,movie16_end ,movie17_start ,movie17_end ,movie18_start ,movie18_end ,movie19_start ,movie19_end ,movie20_start ,movie20_end ,movie21_start ,movie21_end ,movie22_start ,movie22_end ,movie23_start ,movie23_end ,movie24_start ,movie24_end ,movie25_start ,movie25_end ,movie26_start ,movie26_end ,movie27_start ,movie27_end ,movie28_start ,movie28_end ,movie29_start ,movie29_end ,movie30_start ,movie30_end ,movie31_start ,movie31_end ,movie32_start ,movie32_end ,calibration33_start ,smile.started,neutral.started,smile.stopped,neutral.stopped,frown.started,frown.stopped,neutral_2.started,neutral_2.stopped,relax.started,relax.stopped,text.started,key_last.started,key_last.keys,key_last.rt,participant,session,date,expName,psychopyVersion,frameRate,
stimuli/Kids_Jack_17.mp4,0,21,21,12,,,,,,1508.347387875001,,1509.712644958001,,1515.4399496670012,1515.4399496670012,space,15.02179008299936,1509.712644958001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677477495.777512,1677477501.55417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,001,2023-02-27_14h33.37.002,movie_affect-rating_shimmer-trigger,2022.2.4,59.870544794786284,
stimuli/Kids_Jack_19.mp4,0,22,22,14,,,,,,1530.483027458,,1531.715242417,,1535.4267212920004,1535.4267212920004,space,11.744046457999502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677477517.783708,1677477521.542077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,001,2023-02-27_14h33.37.002,movie_affect-rating_shimmer-trigger,2022.2.4,59.870544794786284,
stimuli/Kids_Jack_12.mp4,0,23,23,10,,,,,,1547.19674725,,1548.6264664580012,,1559.4591090000013,1559.4591090000013,space,68.18691729099919,1548.6264664580012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677477534.691843,1677477545.57498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,001,2023-02-27_14h33.37.002,movie_affect-rating_shimmer-trigger,2022.2.4,59.870544794786284,
stimuli/duck_video.mp4,0,24,24,0,,,,,,1627.6625411250006,,1628.9831787500007,,1649.3181236250002,1649.3181236250002,space,19.562262873998407,1628.9831787500007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677477615.059784,1677477635.433352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,001,2023-02-27_14h33.37.002,movie_affect-rating_shimmer-trigger,2022.2.4,59.870544794786284,
stimuli/P03.mp4,0,25,25,25,,,,,,1668.8965484580003,,1670.2067737500001,,1956.8586032500007,1956.8586032500007,space,18.477575791999698,1670.2067737500001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677477656.283354,1677477942.976696,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,001,2023-02-27_14h33.37.002,movie_affect-rating_shimmer-trigger,2022.2.4,59.870544794786284,
stimuli/Kids_Jack_02.mp4,0,26,26,3,,,,,,1975.35300275,,1976.642723125,,1979.9735730420016,1979.9735730420016,space,14.048297373999958,1976.642723125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677477962.716098,1677477966.091768,,,,,,,,,,,,,,,,,,,,,,,,,,00,001,2023-02-27_14h33.37.002,movie_affect-rating_shimmer-trigger,2022.2.4,59.870544794786284,
stimuli/Kids_Jack_09.mp4,0,27,27,8,,,,,,1994.0509298750003,,1995.3416347500006,,2000.2072350830003,2000.2072350830003,space,14.829814540998996,1995.3416347500006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677477981.410441,1677477986.325516,,,,,,,,,,,,,,,,,,,,,,,,00,001,2023-02-27_14h33.37.002,movie_affect-rating_shimmer-trigger,2022.2.4,59.870544794786284,
stimuli/Kids_Jack_25.mp4,0,28,28,20,,,,,,2015.0679348330013,,2016.326606083001,,2020.688374583,2020.688374583,space,14.89732845800063,2016.326606083001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677478002.397822,1677478006.806951,,,,,,,,,,,,,,,,,,,,,,00,001,2023-02-27_14h33.37.002,movie_affect-rating_shimmer-trigger,2022.2.4,59.870544794786284,
stimuli/Kids_Jack_24.mp4,0,29,29,19,,,,,,2035.618739208001,,2036.8041845830012,,2039.8035547920008,2039.8035547920008,space,16.214207375000115,2036.8041845830012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677478022.873318,1677478025.92215,,,,,,,,,,,,,,,,,,,,00,001,2023-02-27_14h33.37.002,movie_affect-rating_shimmer-trigger,2022.2.4,59.870544794786284,
stimuli/Kids_Jack_29.mp4,0,30,30,22,,,,,,2056.036288000001,,2057.2865021670004,,2068.8269843750004,2068.8269843750004,space,52.98027120799998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677478043.355965,1677478054.947037,,,,,,,,,,,,,,,,,,00,001,2023-02-27_14h33.37.002,movie_affect-rating_shimmer-trigger,2022.2.4,59.870544794786284,
stimuli/P01.mp4,0,31,31,23,,,,,,2121.839507750001,,2123.0898684170006,,2163.4390452080006,2163.4390452080006,space,33.06749187499918,2123.0898684170006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677478109.170472,1677478149.558966,,,,,,,,,,,,,,,,00,001,2023-02-27_14h33.37.002,movie_affect-rating_shimmer-trigger,2022.2.4,59.870544794786284,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677478182.646357,2196.535589917001,2201.522971542001,2201.5390230420016,2206.526840583001,2206.526840583001,2211.530740125001,2211.530740125001,2216.5348643330017,2216.5348643330017,2276.5351432080006,2276.5351432080006,2276.5351432080006,space,27.17752479199953,00,001,2023-02-27_14h33.37.002,movie_affect-rating_shimmer-trigger,2022.2.4,59.870544794786284,
